year,ISO_code,Country,region,Overall_Score,Overall_Rank,Overall_Quartile,PF_rol,PF_SS_Homicide,PF_SS_Women,PF_SS,PF_Movement,PF_Religion,PF_Association,PF_Expression,PF_Identity,PF_Score,PF_Rank,EF_Govt,EF_Legal,EF_Money,EF_Trade_Tariffs,EF_Trade_Regulatory,EF_Trade_Black,EF_Trade_Movement,EF_trade,EF_Reg_Credit,EF_Reg_Labor,EF_Reg_Business,EF_Reg,EF_Score,EF_Rank
2016,ALB,Albania,Eastern Europe,7.5681402879999995,48.0,2.0,5.291751647,8.920429431,7.5,8.80680981,6.666666667,9.192592592999999,10.0,8.607142857000001,6.25,7.596280576,57.0,7.935563809,5.071813726,9.55365739,8.963555556000001,7.489904631,10.0,6.406137855,8.21489951,7.098562307000001,6.916277916,6.705863193,6.9069011389999995,7.54,34.0
2016,DZA,Algeria,Middle East & North Africa,5.135886055,155.0,4.0,3.8195660260000004,9.456253595,5.833333333,8.043882199,5.0,4.944814815,5.0,7.380952381,0.833333333,5.281772108999999,147.0,3.616782254,4.690742835,7.253893581,6.872533333,2.481294473,5.563909774,1.590361717,4.127024823999999,5.100508618,5.029512576,5.6769559979999995,5.268992397,4.99,159.0
2016,AGO,Angola,Sub-Saharan Africa,5.640662182000001,142.0,4.0,3.451813885,8.060260239,8.333333332999999,8.297864524,5.0,8.786666667,4.0,6.452380952,7.5,6.111324364,117.0,6.496684826,2.9636351160000003,5.606605364,6.989244444,2.024949049,10.0,2.044822683,5.264754044,7.064905164,4.560324821,4.930271338,5.5185004410000005,5.17,155.0
2016,ARG,Argentina,Latin America & the Caribbean,6.469847841,107.0,3.0,5.744791027000001,7.62297422,10.0,9.040383237,10.0,7.795925926000001,7.5,8.738095238,10.0,8.099695682,42.0,5.346056135,3.9040304010000004,5.614335973999999,6.4216,4.811105486000001,0.0,4.69748214,3.982546906,5.419820382999999,5.151405292,5.535830647999999,5.369018774,4.84,160.0
2016,ARM,Armenia,Caucasus & Central Asia,7.241401801,57.0,2.0,5.003205353,8.808749692000001,8.333333332999999,8.830548737,6.666666667,6.222222222,6.5,7.154761905,8.0,6.912803602,84.0,7.003309536000001,5.809214965,9.521939951,8.547555556,7.194410488,10.0,6.8309979720000005,8.143241004,9.10204603,6.234629858,6.797530175,7.378068688,7.57,29.0
2016,AUS,Australia,Oceania,8.582219227000001,4.0,1.0,7.77627878,9.623537569,10.0,9.873961805,10.0,9.075925926,10.0,9.392857142999999,9.25,9.184438453,11.0,6.544178144,7.919018594,9.452540277999999,8.82,7.427103292999999,10.0,3.85978066,7.526720987999999,9.576357984,7.698589133,8.121630652,8.465525923,7.98,10.0
2016,AUT,Austria,Western Europe,8.4134742,16.0,1.0,8.171748815,9.73791214,10.0,9.91263738,10.0,7.925185185,10.0,9.333333332999999,10.0,9.246948401000001,8.0,5.086294924,7.915986905,9.432829777,8.266133332999999,8.254011088,10.0,5.906785912,8.106732583,9.12901455,5.56511786,7.419870157999999,7.371334189,7.58,27.0
2016,AZE,Azerbaijan,Caucasus & Central Asia,6.0832767389999995,130.0,4.0,4.270861177,9.143499301,8.333333332999999,8.667523503,5.0,5.461111111,3.0,4.70846197,6.25,5.676553478,131.0,5.175449013,5.6527322589999995,7.513486983,7.973777778,6.7990523220000005,10.0,4.0932684130000005,7.216524627999999,7.467777943,6.076782453,7.080078226,6.874879541,6.49,106.0
2016,BHS,Bahamas,Latin America & the Caribbean,7.3972689229999995,50.0,2.0,6.400790272999999,0.0,,5.0,10.0,7.938888888999999,,8.895833332999999,10.0,7.454537846,64.0,8.281449394,6.658107267999999,6.890103656,3.2530666669999997,8.105924622,10.0,5.384615385,6.685901668,8.622733198999999,8.361606213,7.523034376,8.169124596,7.34,49.0
2016,BHR,Bahrain,Middle East & North Africa,6.848034997,75.0,2.0,5.900338722000001,9.790481421,5.833333333,8.006967709,6.666666667,7.461481481,5.0,4.130952381,3.333333333,6.136069994,114.0,8.317484907999999,5.265601627,9.404353401,8.5232,6.295594702000001,10.0,4.794819185,7.403403472000001,7.609167116,6.619417747000001,8.018773961,7.415786273999999,7.56,30.0
2016,BGD,Bangladesh,South Asia,5.801300179,138.0,4.0,3.1328924860000003,8.998764807999999,5.833333333,7.587379567,5.0,5.933333332999999,7.0,7.041990115,1.25,5.302600358,146.0,8.545118177,3.234259181,6.983616746,6.5412,3.23863567,10.0,4.377654644,6.039372579,7.884083638,7.223646767999999,4.962579742,6.690103382999999,6.3,120.0
2016,BRD,Barbados,Latin America & the Caribbean,7.0684472320000005,67.0,2.0,6.699287431,5.6371364129999995,,7.818568207,10.0,8.494444443999999,,9.125,5.0,7.706894465,54.0,6.383359154,5.756723061000001,6.404613122000001,7.282577777999999,5.661880367,10.0,5.415144845,7.089900747000001,6.286333332999999,7.139466704,6.148503081,6.5247677060000004,6.43,111.0
2016,BLR,Belarus,Eastern Europe,6.144514082000001,128.0,4.0,5.128924941,8.566134566,10.0,9.188711522,3.333333333,5.153333333,2.5,5.80952381,8.0,6.059028163,120.0,6.761446145,5.525957318,5.332776772,7.704355556,9.728995482,10.0,1.2696051309999998,7.175739042000001,3.8506184660000002,7.188794037999999,8.092322015,6.37724484,6.23,123.0
2016,BEL,Belgium,Western Europe,8.153589293,27.0,1.0,7.751100945,9.220406912,10.0,9.345020809,10.0,8.131481481,10.0,9.75,9.25,8.987178587,19.0,3.875398037,7.066600168,9.377365846,8.266133332999999,8.057298673,10.0,6.481454241000001,8.201221562,9.606065797000001,7.327516196,7.37437972,8.102653904,7.32,52.0
